"date","time","bird","sex","tagged","inc_brood","walk","feed","fly","cos_time","sin_time"
2022-01-25,08:42:00.000000,"RR/OY","M","N",0,0,0,0,5.8748612903352,2.22809838734256
2021-12-28,08:00:00.000000,"RR/WB","F","N",1,1,0,0,5.93733960100205,2.05582491149666
2021-11-22,07:51:00.000000,"RW/BG","M","Y",0,1,0,0,5.95007245976074,2.0186766278813
2021-11-29,08:02:00.000000,"RW/BG","M","Y",0,1,0,0,5.93447856294318,2.06406923099135
2021-12-12,14:06:00.000000,"RW/BG","M","Y",0,1,0,0,5.22967723999459,3.48265610846664
2021-11-22,08:08:00.000000,"RW/OO","F","N",0,1,0,0,5.92582678486946,2.08877823621395
2021-11-29,08:09:00.000000,"RW/OO","F","N",0,1,0,0,5.92437481567016,2.09289288971283
2021-10-18,08:50:00.000000,"RR/WR","F","N",1,1,0,0,5.862392368429,2.26070195358497
2022-01-03,08:51:00.000000,"RR/WR","F","N",0,1,0,0,5.86082102306462,2.26477251395393
2021-12-28,09:52:00.000000,"RR/WR","F","N",1,1,0,0,5.75965370425993,2.51093743676784
2022-01-03,08:27:00.000000,"RR/WR","F","N",0,1,0,0,5.89775150006775,2.16678214128833
2022-01-17,09:01:00.000000,"RR/WR","F","N",0,1,0,0,5.84495224318971,2.30541772336143
2021-11-29,07:44:00.000000,"RR/YG","M","N",0,1,0,0,5.95981513133739,1.98972892742688
2021-12-13,07:53:00.000000,"RR/YG","M","N",0,1,0,0,5.94726300424272,2.0269386677261
2021-12-22,08:27:00.000000,"RR/RG","M","Y",0,1,0,0,5.89775150006775,2.16678214128833
2022-02-18,09:00:00.000000,"RR/RG","M","Y",0,1,0,0,5.84655181821807,2.30135817317696
2021-11-02,19:53:00.000000,"RL/YL","F","Y",1,1,0,0,4.24744814100689,4.63007579784765
2021-11-02,20:04:00.000000,"RR/LR","M","Y",1,0,0,0,4.21195592614603,4.66238617883169
2021-11-03,06:32:00.000000,"RR/LR","M","Y",1,0,0,0,6.05181191319571,1.68937567511193
2021-11-04,18:11:00.000000,"RL/YL","F","Y",1,0,0,0,4.5644866239895,4.31785588733324
2021-11-04,07:22:00.000000,"RR/LR","M","Y",1,0,0,0,5.98951705701464,1.89844753103374
2021-11-10,11:01:00.000000,"RL/YL","M","Y",1,0,0,0,5.63277315033465,2.78393323217825
2021-11-16,06:40:00.000000,"RB/RL","F","Y",1,0,0,0,6.04233314913831,1.72297060891407
2021-12-08,15:44:00.000000,"RB/RL","F","Y",1,1,0,0,4.98073995399298,3.83022807611446
2021-11-19,06:14:00.000000,"RB/RL","F","Y",1,1,0,0,6.0724557675624,1.61359801541634
2021-11-26,06:25:00.000000,"RB/RL","F","Y",1,1,0,0,6.05995262048673,1.65993730056693
2021-12-02,17:35:00.000000,"RB/RL","F","Y",1,1,0,1,4.67099544932807,4.20240634835731
2021-12-09,21:06:00.000000,"RB/BY","F","Y",1,0,0,1,4.00737289649899,4.83935740287517
2021-10-13,07:19:00.000000,"BB/BR","M","Y",1,1,0,0,5.9934591550974,1.88596525963141
2021-10-05,10:56:00.000000,"RR/YY","F","Y",1,1,0,0,5.64240561050116,2.76435824938493
2021-10-05,13:43:00.000000,"RR/YY","F","Y",1,1,0,0,5.28463356995895,3.39868586892351
2021-10-06,15:12:00.000000,"RW/BY","F","Y",1,1,0,0,5.0646193664627,3.71860837911286
2021-10-06,13:13:00.000000,"RR/YY","F","Y",1,1,0,0,5.35428760631111,3.28785976484106
2021-11-19,12:59:00.000000,"RL/RB","F","Y",1,1,0,1,5.38599936007842,3.23564962528273
